Alimento;Kcal (100g);Proteína (g);Hidratos (g);Gordura (g)
Farinha de trigo (valor médio tipo 150 e tipo 55);349;8,5;73,7;1,5
Farinha de trigo com fermento;343;9,7;72,5;1,1
Farinha de trigo integral;338;9,6;65,2;2,4
Farinha de trigo tipo 150;352;9,1;73;1,8
Farinha de trigo tipo 55;344;7,8;74,3;1,1
Farinha de trigo tipo 65;341;13,6;67,6;1
"Farinha láctea 5 frutos tipo ""Cerelac"" (com farinha de trigo)";408;15;65;9
"Farinha láctea maçãs tipo ""Cerelac"" (com farinha de trigo)";412;15;66;9
"Farinha láctea tipo ""Cerelac"" (com farinha de trigo)";416;15;68;9
Farinheira cozida;404;4,8;26,4;30,7
Farinheira crua;497;4,8;26,7;41
Favada à portuguesa;130;8;8,4;5,9
Favas frescas cozidas;82;7,7;7,7;0,5
Favas frescas cruas;80;7,4;8,5;0,5
Favas secas cruas;301;25,8;32,8;1,3
Favas secas, demolhadas, cozidas;90;7,9;10,7;0,6
Feijão-verde fresco cozido;27;1,3;3,5;0,3
Feijão-verde fresco cru;32;1,9;3,8;0,3
Feijão branco, demolhado, cozido;102;6,5;14,6;0,6
Feijão branco, seco, cru;308;21,3;43,9;0,1
Feijão catarino, seco, cru;302;20,3;47,9;0,1
Feijão catarino, seco, demolhado, cozido;88;6;14,1;0
Feijão encarnado, seco, cru;310;21,5;47,9;0,5
Feijão encarnado, seco, demolhado, cozido;90;6,2;13,8;0,1
Feijão frade, seco, cru;339;21,4;55,3;1,5
Feijão frade, seco, demolhado, cozido;123;8,8;18,1;0,7
Feijão manteiga, demolhado, cozido;99;6,4;14;0,6
Feijão manteiga, seco, cru;313;24;42,6;0,1
Feijão preto, seco, cru;318;22,4;47,9;1
Feijão preto, seco, demolhado, cozido;80;6,5;8,4;0,3
Feijoa (polpa);52;0,9;9,8;0,5
Feijoada com carne de porco;187;13,6;13,3;7,2
Feijoada com carne de porco e de vaca;191;13,7;13,3;7,5
Feijoada com enchidos e ovos;240;9;14,1;15,1
Fermento em pó;156;4,7;34,4;0
Fermento fresco de padeiro;78;12,9;1;0,9
Fermento seco de padeiro;228;38,3;3,2;2,5
Fiambre de aves;83;13,8;2,7;1,6
Fiambre de porco;111;15,3;1,3;4,6
Fiambre, pá;112;14;1,3;5,1
Fiambre, peito de frango;82;13,7;2,8;1,3
Fiambre, peito de peru;85;13,8;2,6;1,9
Fiambre, perna;111;16,5;1,2;4,1
Figo (5 variedades);79;0,9;16,3;0,5
Figo cristalizado;295;0,5;71,2;0,4
Figo seco;276;2,8;58,2;1,5
Fisális;68;1,8;11,7;0,6
Flocos de arroz;379;7;83,4;1,5
Flocos de aveia;366;13,5;61,7;5,8
Flocos de centeio;352;12;69;2
"Flocos de cereais e frutos secos tipo ""Muesli""";388;10,4;69,1;6,3
Flocos de cevada;324;8,3;64,4;2
"Flocos de milho tipo ""Corn Flakes""";374;7,9;81,1;1,1
Flocos de trigo;373;14;69;2,5
"Flocos de trigo com figos tipo ""Nestum""";370;9;76,3;1,5
"Flocos de trigo com mel tipo ""Nestum""";385;8,2;84,6;1
Flocos de trigo e arroz enriquecidos com vitaminas, cálcio e ferro;372;7,5;79,2;1,3
"Flocos de trigo integral tipo ""All-Bran Flakes""";349;10,2;64,2;1,9
Flor de sal;0;0;0;0
Folhas de rabanete cruas;39;3,5;3,9;0,5
Framboesa;49;0,9;5,1;0,6
Framboesa desidratada;293;5,4;30,9;3,6
Francesinha, com molho;249;13,3;6,5;17,7
Frango (1/4) peito e asa com pele, cozidos;202;27,2;0;10,3
Frango (1/4) peito e asa com pele, estufados com azeite e margarina;204;18,5;1,7;13,5
Frango (1/4) peito e asa com pele, estufados com margarina;201;18,5;1,7;13,2
Frango (1/4) peito e asa com pele, estufados sem molho;223;29,2;0;11,8
Frango (1/4) peito e asa com pele, grelhados;235;28,7;0;13,4
Frango (1/4) perna com costa e pele, assada sem molho;231;26,9;0;13,7
Frango (1/4) perna com costa e pele, cozida;197;25,5;0;10,6
Frango (1/4) perna com costa e pele, estufada com azeite e margarina;203;17,3;1,7;13,8
Frango (1/4) perna com costa e pele, estufada com margarina;200;17,3;1,7;13,5
Frango (1/4) perna com costa e pele, estufada sem molho;215;26,9;0;11,9
Frango (1/4), peito e asa com pele, crus;196;20,4;0;12,7
Frango (1/4), perna com costa e pele, crua;195;19,1;0;13
Frango (1/4), perna com costa e pele, grelhada;231;26,9;0;13,7
Frango inteiro com pele, assado sem molho;239;27,6;0;14,3
Frango inteiro com pele, cozido;204;26,1;0;11,1
Frango inteiro com pele, cru;201;19,6;0;13,6
Frango inteiro com pele, estufado com azeite e margarina;224;19,1;1,8;15,4
Frango inteiro com pele, estufado com margarina;221;19,1;1,8;15,1
Frango inteiro com pele, estufado sem molho;233;28,8;0;13,1
Frango inteiro com pele, grelhado;239;27,6;0;14,3
Frango inteiro sem pele, cozido;169;32,8;0;4,2
Frango inteiro sem pele, cru;110;22,9;0;2
Frango inteiro sem pele, estufado com azeite e margarina;129;21;1,7;4,1
Frango inteiro sem pele, estufado com margarina;126;21;1,7;3,8
Frango inteiro sem pele, estufado sem molho;185;33,2;0;5,8
Frango inteiro sem pele, grelhado;168;31;0;4,9
Frango, peito com pele estufado com azeite e margarina;189;22,1;1,7;10,3
Frango, peito com pele estufado com margarina;187;22,1;1,7;10
Frango, peito com pele, cozido;194;32,1;0;7,3
Frango, peito com pele, cru;177;24,1;0;8,9
Frango, peito com pele, estufado sem molho;212;34,4;0;8,3
Frango, peito sem pele estufado com azeite e margarina;124;21,4;1,7;3,3
Frango, peito sem pele estufado com margarina;121;21,4;1,7;3
Frango, peito sem pele, cozido;148;34,5;0;1,1
Frango, peito sem pele, cru;108;24,1;0;1,2
Frango, peito sem pele, estufado sem molho;169;36,6;0;2,5
Frango, pele crua;474;9,7;0;48,3
Frango, perna sem pele, cozida;147;31,5;0;2,3
Frango, perna sem pele, crua;111;22;0;2,6
Frango, perna sem pele, estufada com azeite e margarina;124;19,1;1,6;4,4
Frango, perna sem pele, estufada com margarina;121;19,1;1,6;4,1
Frango, perna sem pele, estufada sem molho;180;32,9;0;5,4
Funcho fresco;32;2,8;2,6;0,4
Galinha de angola com pele, crua;152;23,4;0;6,5
Galinha, coração cru;149;15,6;0,7;9,3
Galinha, fígado cru;92;17,7;0;2,3
Gamba crua;88;21,5;0;0,2
Garoupa cozida;101;20,8;0;2
Garoupa crua;95;20,5;0;1,4
Garoupa grelhada;121;25,9;0;1,9
Gelado caseiro com bolachas e natas;358;5,1;36,5;21,2
Gelado caseiro com palitos la Reine;263;7,9;28,7;12,4
Gelado de água (sorvete);132;0,4;32,6;0
Gelado de leite;199;3,6;21,7;10,9
Gelatina desidratada (pó ou folha);349;87;0;0,1
Gelatina preparada com ananás em conserva;97;2,2;21,6;0
Gelatina preparada com laranja e sumo de laranja;84;2,6;17,4;0,1
Geleia de casca de laranja;275;0,3;68;0
Gema de ovo de galinha, crua;342;16;0;30,9
Gema de ovo de galinha, pasteurizada;294;15,3;1,3;25,2
Gengibre fresco;82;1,8;15,8;0,8
Gérmen de trigo;391;28,1;41,8;9,6
Gin - Rum- Whisky;222;0;0;0
Ginja;57;0,9;11,5;0,3
Goiaba crua, polpa;41;0,8;5;0,5
Goraz assado com cebola, tomate, azeite e óleo alimentar;117;14,8;1,5;5,1
Goraz cozido;108;19,2;0;3,5
Goraz cru;100;18,8;0;2,7
Goraz grelhado;118;22,4;0;3,2
Goraz no forno;110;18,7;0,7;2,7
Grão-de-bico, demolhado, cozido;119;6,8;15,1;2,1
Grão-de-bico, seco, cru;327;19,4;33,5;6,8
Grelos de couve cozidos;22;1,9;1,5;0,4
Grelos de couve crus;28;2,4;2,5;0,4
Grelos de nabo cozidos;20;1,8;1,3;0,4
Grelos de nabo crus;29;2,4;2,3;0,5
Gressino;396;10,7;67;8,7
Grilo doméstico, pó;506;58,3;0,1;28,9
Groselha;52;1,1;5;0,5
Hambúrguer de feijão manteiga frito com azeite;169;8;19,8;5,3
Hambúrguer de feijão manteiga frito com óleo de milho;169;8;19,8;5,3
Hortelã fresca;51;3,8;5,3;0,7
Imperador assado com cebola, tomate, azeite e óleo alimentar;94;13,7;1,4;3,1
Imperador cozido;84;19,9;0;0,5
Imperador cru;80;19;0;0,4
Imperador grelhado;97;23;0;0,5
Inhame cru;114;1,5;25,7;0,3
Iogurte gordo, aromatizado, açucarado;83;3,9;8,5;3,6
Iogurte gordo, com polpa e/ou pedaços de fruta e cereais açucarado;114;4,2;15,8;3,2
Iogurte gordo, com polpa e/ou pedaços de fruta, açucarado;96;4,2;12,4;3,2
Iogurte grego com fruta açucarado;113;2,7;13,7;5
Iogurte grego magro natural;56;5,3;3,9;2
Iogurte grego natural;85;1,4;4,8;6,6
Iogurte líquido magro, aromatizado, açucarado;62;3,2;11,6;0,3
Iogurte líquido meio gordo, aromatizado, açucarado;70;3;11,5;1,3
Iogurte líquido meio gordo, natural, açucarado;70;3,1;11,2;1,4
Iogurte magro, aromatizado, açucarado;69;5;11,8;0,1
Iogurte magro, com cereais e edulcorantes;50;4,3;5,7;0,4
Iogurte magro, natural;42;4,6;5,2;0,2
Iogurte magro, natural, com edulcorantes;47;5;6,3;0,1
Iogurte meio gordo, aromatizado, açucarado;79;4,3;11,3;1,8
Iogurte meio gordo, com polpa e/ou pedaços de fruta, açucarado;92;4,3;14,6;1,7
Iogurte meio gordo, natural;54;4,2;5;1,8
Iogurte meio gordo, natural, açucarado;91;4,7;13,1;2,1
Iogurte sem lactose enriquecido em proteína, magro, aromatizado, com pedaços e/ou polpa de fruta, açucarado;76;9;9,7;0
Iogurte sem lactose líquido, magro, aromatizado, com polpa de fruta, açucarado;78;3,1;16;0,2
Iogurte sem lactose líquido, magro, aromatizado, com polpa de fruta, com edulcorantes;34;3,3;5;0,1
Iogurte sem lactose líquido, meio gordo, aromatizado, açucarado;71;2,8;11,8;1,4
Iogurte sem lactose líquido, meio gordo, aromatizado, com polpa de fruta, açucarado;73;2,6;12,5;1,3
Iogurte sem lactose líquido, meio gordo, natural, açucarado;70;2,7;11,7;1,4
Iogurte sem lactose magro, aromatizado, com pedaços e/ou polpa de fruta, com edulcorantes;42;4,8;4,8;0,1
Iogurte sem lactose magro, natural;41;4,9;5;0,2
Iogurte sem lactose meio gordo, aromatizado, açucarado;76;3,5;12;1,5
Iogurte sem lactose meio gordo, aromatizado, com frutos secos e cereais, açucarado;98;3,7;16,1;1,6
Iogurte sem lactose meio gordo, aromatizado, com pedaços e/ou polpa de fruta, açucarado;83;3,7;13,6;1,3
Iogurte sem lactose meio gordo, natural;48;3,8;4,5;1,5
Iogurte sem lactose meio gordo, natural, açucarado;78;3,5;12,2;1,5
Javali cru;108;19,5;0;3,4
Jesuíta;518;4,1;54;31,2
Kefir de cabra, magro, natural, sólido;36;4,3;3,9;0,4
Kefir de cabra, natural, sólido;68;3,3;3,9;4,3
Kefir, magro, natural, sólido;30;3,4;3,6;0,1
Kefir, natural, liquido;62;3,3;4,4;3,3
Kefir, natural, sólido;65;4,1;3,9;3,5
Kefir, parcialmente desnatado, açucarado, aromatizado, liquido;69;3,3;10;1,6
Kefir, parcialmente desnatado, aromatizado, liquido;46;3,5;4,6;1,4
Kefir, parcialmente desnatado, natural, liquido;45;3,5;4,1;1,5
Lagosta cozida;90;20,6;0,2;0,8
Lagosta crua;79;18,2;0,1;0,7
Lagostim cozido;90;21,2;0,2;0,5
Lagostim cru;89;20,9;0,2;0,5
Lampreia crua;314;16,7;0,1;27,4
Lapas cruas;66;14,3;0,6;0,7
Laranja (3 variedades);52;0,9;10,5;0,1
Larvas de Tenebrio molitor, desidratadas;500;52,7;3,1;29,3
Lasanha à bolonhesa;183;7,7;9,2;12,4
Lebre crua;113;21,6;0;3
Leite achocolatado, sem lactose;58;3,5;7,5;1,4
Leite achocolatado, UHT;65;3,4;9,7;1,3
Leite condensado;338;7,8;56,4;9
Leite creme;163;5,9;19,5;6,8
Leite de cabra cru;70;3,8;4,6;4
Leite de coco, enlatado;185;2;2,8;18,4
Leite de ovelha cru;93;5,1;4,2;6,2
Leite evaporado;136;6,6;9,8;7,8
Leite fermentado (Bifidus) gordo, natural;67;4;4,5;3,6
Leite fermentado (Bifidus) sem lactose enriquecido com fibra, magro, aromatizado, com pedaços e/ou polpa de fruta, com sementes e/ou cereais, com frutos secos e/ou de casca rija, com edulcorantes;57;4,2;6,6;0,8
Leite fermentado (Bifidus) sem lactose líquido, meio gordo, aromatizado, com pedaços e/ou polpa de fruta, açucarado;71;2,7;11;1,7
Leite fermentado (Bifidus) sem lactose magro, natural, com edulcorantes;51;5,3;6,2;0,4
Leite fermentado (Bifidus) sem lactose, gordo, natural;70;4,2;4,8;3,7
Leite fermentado (Bifidus) sem lactose, magro, aromatizado, com pedaços e/ou polpa de fruta e/ou hortícolas, açucarado, com edulcorantes;57;4,9;8,2;0,4
Leite gordo especial, pasteurizado;62;3,1;4,8;3,4
Leite gordo sem lactose, enriquecido com vitaminas A, D, E e B9 (ácido fólico), UHT;62;3;4,6;3,5
Leite gordo, pasteurizado;62;3;4,7;3,5
Leite gordo, pó;495;26,8;38,7;25,9
Leite gordo, UHT;62;3;4,7;3,5
Leite humano;66;1,4;7,5;3,4
Leite humano, colostro;60;2,3;6,3;2,8
Leite humano, transição;66;1,6;6,6;3,7
Leite magro de pastagem, UHT;33;3,1;4,9;0,1
Leite magro sem lactose, enriquecido com proteína, aromatizado, UHT;55;8;5;0,2
Leite magro sem lactose, UHT;36;3,4;5,1;0,2
Leite magro, pó;359;35,1;52,7;0,9
Leite magro, UHT;35;3,4;4,9;0,2
Leite meio gordo de pastagem, UHT;46;3;5;1,5
Leite meio gordo sem lactose, UHT;48;3,3;5,1;1,6
Leite meio gordo, pó;427;30,7;45,6;13,5
Leite meio gordo, UHT;47;3,3;4,9;1,6
Lentilhas vermelhas, secas, cruas;327;25,7;46,6;0,3
Lentilhas, secas, cruas;321;25,2;47,6;0,7
Lentilhas, secas, demolhadas, cozidas;115;9,1;16,7;0,3
Lichia fresca;70;0,9;14,8;0,4
Licor beneditino;352;0;34,8;0
Licor de anis;385;0;36;0
Licor de ginja;239;0,1;19;0
Licor simples;294;0;24,4;0
Lima;31;0,7;1,7;0,2
Limão;31;0,5;1,9;0,3
Linguado cru;82;20,1;0;0,2
Linguado frito;164;24,3;2,7;6,2
Linguado grelhado;94;23,1;0;0,2
Linguiça;437;21,5;0;39
Lula crua;71;15,8;0;0,9
Lula estufada com cebola, tomate e azeite;135;16,1;2,9;6,3
Lula grelhada;144;32,5;0;1,6
Maçã (média com e sem casca);57;0;12,2;0,5
Maçã assada com açúcar;106;0,2;23,9;0,5
Maçã assada sem açúcar;75;0,3;15,7;0,5
Maçã com casca;64;0,2;13,4;0,5
Maçã cozida com açúcar;77;0,2;17;0,5
Maçã cozida sem açúcar;51;0,2;10,5;0,5
Maçã desidratada;354;1,1;74,5;2,9
Maçã seca;257;0,8;57,1;0,3
Maçã sem casca;61;0,2;12,7;0,5
Madalena;443;4,9;54,7;22,6
Maionese caseira, com ovo e azeite;657;4;0;71,2
Maionese caseira, com ovo e óleo de soja;644;3,9;0;69,8
Malagueta vermelha fresca;31;1,8;4,3;0,3
Malagueta vermelha, desidratada;317;10,6;41,2;5,8
Mandioca crua;145;1;33,8;0,3
Manga;59;0,5;11,7;0,3
Manga desidratada;340;2,9;67,4;1,7
Manjericão fresco;48;3,1;5,1;0,8
Manjericão seco;244;23;10;4,1
Manjerona seca;320;12,7;42,5;7
Manteiga com sal;739;0,1;0,7;81,8
Manteiga sem sal;750;0,1;0,7;83
Maracujá;52;2,6;5,7;0,4
Margarina;740;0,1;0,4;82
Margarina 3/4, de girassol;524;0,1;0,3;58
Margarina culinária para folhados, com sal;772;0,1;0,4;85,5
Margarina industrial para pastelaria, com sal;727;0,1;0,4;80,5
Margarina vegetal culinária, 80% gordura, com sal;722;0,1;0,4;80
Margarina vegetal culinária, com alho e sal;692;1;4,4;74,3
Marmelada;261;2,3;61,4;0,2
Marmelo;53;0,3;9,3;0,2
Maruca cozida;73;17,9;0;0,1
Maruca crua;70;17,2;0;0,1
Massa com ovo cozida;71;2,8;13,3;0,6
Massa com ovo crua;360;13,9;67,6;3,1
Massa de pimentão;44;2,6;4,4;1
Massa folhada, congelada;398;5;31,8;27,5
Massa miúda crua;356;12,4;70;1,8
Massa para lasanha cozida;115;4;22,6;0,7
Massa para lasanha crua;359;12;71,4;2,1
Massa para pizza;289;7,8;52,5;4,8
Massa quebrada para quiche;498;5,5;52,4;29,2
Medronho;150;1,2;31,4;0,6
Meia-desfeita de bacalhau;156;12,7;14,8;4,2
Mel;314;0,5;78;0
Mel de cana;311;0,3;77,4;0
Melaço;269;0,6;66,6;0,1
Melancia;32;0,6;7,3;0
Melão (3 variedades);39;0,8;7,9;0,3
Meloa;39;1;8,2;0
Merengue;353;4,1;83;0,5
Mexilhão cozido sem sal;97;16,8;2,8;2,1
Mexilhão cru;70;12,1;2;1,5
Milho doce em conserva;110;2,9;18,4;1,9
Milho, amido (pó);364;0,4;90,2;0,2
Milho, grão seco cru;368;9,3;70,3;4,9
Millet, cru, seco;362;11,1;71,2;3,2
Minarina (meia margarina);380;0,9;0,4;41,6
Mirtilo;43;0,5;6,4;0,6
Mirtilo desidratado;317;3,7;46,8;4,4
Miso, pasta de soja fermentada com arroz integral e cevada;177;11,9;15,1;6,5
"Molho ""Béchamel"" com manteiga";130;4;9,6;8,4
"Molho ""Béchamel"" com margarina";140;3,6;9,9;9,5
Molho branco com caldo de carne de vaca;115;1,1;6,8;9,2
Molho branco com margarina;244;4,4;18,5;16,8
Molho de bife frito com manteiga;379;2;0,4;41
Molho de carne de vaca assada com azeite e margarina;586;2,1;0,3;64
Molho de carne de vaca assada com margarina;513;1,9;0,4;56
Molho de carne de vaca estufada com azeite e margarina;260;1,7;0,4;27,9
Molho de carne de vaca estufada com vegetais, azeite e margarina;267;1,3;1,3;28,5
Molho de lombo de porco frito com banha;551;2,2;0;60,2
Molho de lombo de porco frito com banha e margarina;498;2,3;0,1;54,3
Molho de lombo de porco frito com margarina;447;2,3;0,2;48,5
Molho de lombo de vaca frito com creme vegetal sem sal;350;2,2;0,2;37,8
Molho de lombo de vaca frito com margarina;372;2,2;0,2;40,3
Molho de mostarda;444;2,6;18;40,2
Molho de soja;89;4,7;17,3;0
Molho de tomate;107;1,1;4,9;8,8
"Molho de tomate, ""ketchup""";119;1,7;26,9;0,3
Molho de vinagrete;648;0,2;0,2;71,8
Molho para francesinha;74;1,1;4,8;2,6
Molho verde;246;0,7;2,3;25,6
Morango;32;0,6;6;0,2
Morango desidratado;322;5,8;50,9;3,8
Morcela crua;363;12;12;29,5
Morcela grelhada;339;12,9;13,1;25,9
Mortadela;379;18,3;1,7;33,2
Mousse de chocolate;285;9,5;31;13,1
Múcua (fruto do embondeiro, baobab);212;2,8;16,3;0,1
Nabiça crua;17;2;1,2;0
Nabiças cozidas;16;2,1;0,7;0
Nabo (raiz) cozido;19;0,4;2,3;0,4
Nabo (raiz) cru;21;0,4;3;0,4
Nata maturada pasteurizada 30% gordura;306;1,9;2,7;32
Nata para bater pasteurizada 34% gordura;323;2,2;2,1;34
Nata pasteurizada 33% gordura;317;2;2,9;33
Nata pasteurizada 36% gordura;340;2;1,9;36
Nata pasteurizada para café, 15% gordura;153;2;2,4;15
Nata UHT 35% gordura;335;1,8;3,1;35
"Néctar de ""tutti - frutti""";46;0,1;10,8;0,1
Néctar de alperce;56;0,2;12,9;0,1
Néctar de ananás;46;0,2;10,5;0,1
Néctar de laranja;43;0,2;9,6;0,1
Néctar de maçã;48;0,1;11,3;0,1
"Néctar de maçã, ""light""";22;0,1;4,6;0,2
Néctar de pera;48;0,2;11;0,1
Néctar de pêssego;51;0,2;11,7;0,1
"Néctar de pêssego, ""light""";18;0,1;3,5;0,1
Nectarina;49;1,4;8,7;0,1
Nêspera;51;0,4;10,2;0,4
Noz-moscada;506;5,8;28,5;36,3
Noz macadâmia;752;8;5,1;76
Noz pecan;729;9,4;5,4;72,6
Noz, miolo;699;16,7;3,6;67,5
"Óleo ""Becel""";887;0;0;98,5
Óleo alimentar;896;0;0;99,5
Óleo de amendoim;887;0;0;98,5
Óleo de coco;900;0;0;100
Óleo de girassol;896;0;0;99,5
Óleo de linhaça;900;0;0;100
Óleo de milho;896;0;0;99,5
Óleo de palma;900;0;0;100
Óleo de soja;887;0;0;98,5
Omelete;136;12;0,2;9,5
Omelete com manteiga;199;13;0;16,3
Omelete com margarina;198;13;0;16,2
Orégão seco;265;9;26,4;4,3
Ostra, crua;65;8,6;3,9;1,7
Ovo de codorniz, cru;150;12,9;0,4;10,7
Ovo de galinha inteiro, cru;143;12,6;0,5;10,1
Ovo de galinha líquido, pasteurizado;131;11,9;0;9,3
Ovo de galinha, cozido;149;13;0;10,8
Ovo de galinha, escalfado;150;13;0;10,9
Ovo de galinha, estrelado;193;13,7;0;15,4
Ovo de galinha, estrelado com azeite;191;13,8;0;15,1
Ovo de galinha, estrelado com manteiga;194;13,7;0;15,5
Ovo de galinha, estrelado com margarina;194;13,7;0;15,5
Ovo de galinha, mexido com manteiga;197;13;0;16,1
Ovo de galinha, mexido com margarina;196;13;0;16
Ovo mexido com leite e margarina;213;11;0,9;18,3
Paio de lombo;288;29,2;0;19
Paio de lombo entremeado;361;22,8;0;30
Pão de centeio;268;5,9;56,4;0,8
Pão de centeio integral;229;7,7;41,3;2,1
Pão de forma, de trigo com passas;291;8,3;58,3;2
Pão de forma, de trigo enriquecido;284;8,7;54,5;2,7
Pão de leite (trigo);259;7,7;51,4;1,9
Pão de ló;361;9,6;62,2;8
Pão de milho;188;5,3;37,2;1,2
Pão de mistura de trigo e centeio;272;9;53,8;1,4
Pão de trigo;290;8,4;57,3;2,2
Pão de trigo com redução de sal;248;7;51;1,2
Pão de trigo integral;232;7,6;39,9;3
Pão de trigo integral com passas;247;7,4;44;2,6
Pão de trigo integral com sementes de sésamo;256;7,7;43,2;4
Pão de trigo integral com soja;233;9,4;38,2;2,8
Pão pita;218;7,7;42,7;1,1
Pão ralado;359;11,2;71,6;2,3
Papaia;45;0,6;9,1;0,1
Papaia desidratada;361;4,8;73,3;0,8
Pargo legítimo assado com cebola, tomate e azeite;136;15,9;1,4;6,7
Pargo legítimo cozido;82;19,8;0;0,3
Pargo legítimo cru;79;19,4;0;0,2
Pargo mulato assado com cebola, tomate e azeite;137;15,2;1,4;7,1
Pargo mulato cozido;85;19;0;1
Pargo mulato cru;80;18,5;0;0,7
Pasta de aves (paté), caseira;288;26,9;4,7;17,5
Pasta de fígado de porco (paté);363;10;3,2;34,5
Pastel de bacalhau;227;13,8;12,3;13,4
Pastel de feijão;322;6,8;52;9,4
Pastel de nata;275;4,7;38,3;10,6
Pastel folhado;415;7,1;37,4;26
Pastilha elástica;328;6,9;75,1;0
Pato com pele, assado sem molho;347;18,5;0;30,3
Pato com pele, cru;394;12,3;0;38,3
Pato sem pele, assado com margarina;276;36,2;0;14,6
Pato sem pele, cru;133;19,3;0;6,2
Pato sem pele, estufado com margarina;232;27,2;0;13,7
Peixe-espada-branco cru;117;20,3;0;4
Peixe-espada-branco frito;159;22,7;2,9;6,3
Peixe-espada-branco grelhado;123;20,2;0;4,7
Peixe-espada-preto cru;88;15,7;0;2,8
Peixe-espada-preto frito;259;24,2;3,2;16,6
Peixe-espada-preto grelhado;111;20,5;0;3,2
Peixinhos da horta;94;4;14,9;1,4
Pepino cru;19;1,4;1,7;0,6
Pera (5 variedades);57;0,1;12,2;0,4
Pera conserva em calda de açúcar;121;0,2;28,9;0,3
Pera cozida com açúcar;67;0,3;14,5;0,4
Pera cozida sem açúcar;40;0,3;7,8;0,4
Pera cristalizada;285;0,2;69,8;0,1
Pera desidratada;300;1,9;59,9;2,6
Percebes crus;59;13,6;0;0,5
Perdiz crua;104;23;0;1,3
